id,date,title,category,citation,verification,source_id,notes
sb1-2014,2014-11-01,"$3.5 billion large investment abatement created in special session",statute,S.B. 1 (2014) Chapter 4 / NRS 360.900,primary,goed-biennial-2023,"Full 10-year abatement of personal property and modified business taxes plus a partial sales and use tax abatement. Used for the Tesla Gigafactory award."
sb170-2015,2015-01-01,"S.B. 170 creates the data center and aviation abatement programs",statute,NRS 360.754 (data center) and NRS 360.753 (aviation),primary,reno-goed-memo-2025,"Establishes the 10-year and 20-year data center tiers: sales and use tax rate reduced to 2 percent and 75 percent of personal property tax abated."
nrs360880-2015,2015-01-01,"Legislature adds the $1 billion large investment project program",statute,NRS 360.880,primary,reno-goed-memo-2025,Added later in the same year as S.B. 170.
gasb77-2017,2017-07-01,"GASB Statement No. 77 takes effect, requiring tax abatement disclosure",accounting-standard,GASB Statement No. 77,primary,reno-goed-memo-2025,"Before FY2017, governments were not required to disclose tax abatement agreements in their financial statements. This is why redeemed-abatement series begin in FY2017."
sb547-2019,2019-01-01,"Co-located data centers excluded from public utility regulation",statute,NRS 704.021 (S.B. 547 of 2019),primary,lcb-datacenters-2026,See testimony on S.B. 547 at page 14.
reno-vote-2025-02,2025-02-01,"Reno City Council votes against data center regulations",local-government,,primary,lcb-datacenters-2026,Proposed regulations covered water and power usage and noise levels.
sparks-2025-09,2025-09-01,"Sparks City Council directs staff to draft data center regulations",local-government,,primary,lcb-datacenters-2026,
reno-memo-2025-09,2025-09-02,"City of Reno publishes GOED abatements overview",report,,primary,reno-goed-memo-2025,"First municipal quantification of redeemed abatement impacts on Reno revenues, FY2017-FY2024."
lcb-memo-2026-03,2026-03-20,"LCB briefs joint interim committees on data centers",legislative,,primary,lcb-datacenters-2026,"Delivered to the Joint Interim Standing Committees on Natural Resources and on Growth and Infrastructure. Inventories roughly 70 Nevada data center locations."
reno-moratorium-2026-06,2026-06-01,"Reno data center moratorium reported passed",local-government,,unverified,,"Reported by the Truckee Meadows Data Center Policy Consortium (datacenter.policyconsortium.org). Not yet confirmed against Reno City Council minutes or ordinance text. Do not cite from this dataset until verified."
goed-aug-2026,2026-08-13,"GOED approves nine companies including Colovore Reno 1",goed-board,,secondary,nevbex-2026-08,"More than $17.6 million in abatements across Clark, Washoe, Storey and Lyon counties. Six of the nine companies were not named in available coverage."
