id,company,county,status,status_confidence,note,source_id
clark-ispnet,ISP.Net,Clark,unknown,low,,lcb-datacenters-2026
clark-verizon,Verizon,Clark,unknown,low,,lcb-datacenters-2026
clark-lumen,Lumen,Clark,unknown,low,,lcb-datacenters-2026
clark-google,Google,Clark,unknown,low,,lcb-datacenters-2026
clark-novva,NOVVA,Clark,unknown,low,,lcb-datacenters-2026
clark-databank,DataBank,Clark,unknown,low,,lcb-datacenters-2026
clark-switch,Switch,Clark,unknown,low,,lcb-datacenters-2026
clark-fiberhub,FiberHub,Clark,unknown,low,,lcb-datacenters-2026
clark-flexential,Flexential,Clark,unknown,low,Successor to Via West via the Peak 10 merger.,lcb-datacenters-2026
clark-coloxchange,ColoXchange,Clark,unknown,low,,lcb-datacenters-2026
clark-edgeconnex,EdgeConneX,Clark,unknown,low,,lcb-datacenters-2026
clark-tpx,TPx,Clark,unknown,low,Confirmed on the company website per the source memo.,lcb-datacenters-2026
clark-jetai,Jet.AI,Clark,unknown,low,,lcb-datacenters-2026
clark-edged,Edged Energy,Clark,unknown,low,,lcb-datacenters-2026
elko-blusky,BluSky AI,Elko,planned,high,Letter of intent only. Builds modular data centers.,lcb-datacenters-2026
lyon-microsoft,Microsoft,Lyon,planned,high,Victory Logistics District.,lcb-datacenters-2026
lyon-tract,Tract,Lyon,planned,high,"Not a data center operator: acquires and develops land and infrastructure for hyperscalers and wholesalers to build on.",lcb-datacenters-2026
lyon-copia,Copia Power - Monarch Data Campus,Lyon,planned,high,,lcb-datacenters-2026
storey-google,Google,Storey,operational,high,Tahoe Reno Industrial Center.,lcb-datacenters-2026
storey-novva,NOVVA,Storey,operational,high,Located near TRIC.,lcb-datacenters-2026
storey-apple,Apple,Storey,operational,high,"Located near TRIC. The abated Apple data center is in unincorporated Washoe County per the City of Reno memo; the LCB inventory lists an Apple presence near TRIC in Storey County.",lcb-datacenters-2026
storey-switch,Switch,Storey,operational,high,,lcb-datacenters-2026
storey-tract,Tract,Storey,operational,high,Land and infrastructure developer rather than a data center operator.,lcb-datacenters-2026
storey-vantage,Vantage Data Centers,Storey,planned,high,Holds two abatements (NV11 and NV12).,lcb-datacenters-2026
storey-edgecore,EdgeCore Internet Real Estate,Storey,planned,high,"Reported operator behind the MECP1 Reno 1, LLC abatement.",lcb-datacenters-2026
storey-colovore,Colovore,Storey,planned,high,Reno 1 approved for an abatement in August 2026.,lcb-datacenters-2026
storey-powerhouse,PowerHouse Data Centers,Storey,planned,high,,lcb-datacenters-2026
washoe-lumen,Lumen,Washoe,operational,high,,lcb-datacenters-2026
washoe-centra,Centra,Washoe,operational,high,,lcb-datacenters-2026
washoe-roller,Roller Network,Washoe,operational,high,Confirmed on the company website per the source memo.,lcb-datacenters-2026
washoe-oppidan,Oppidan / Connect Data Centers,Washoe,planned,high,,lcb-datacenters-2026
washoe-webb,Webb Data Center,Washoe,planned,high,,lcb-datacenters-2026
washoe-keystone,Centra / Keystone Data Center,Washoe,planned,high,,lcb-datacenters-2026
